project,commit,coveredClass,coveredClassPath,dstar,ochiai,tarantula,barinel,uniq_changes,developers,age,isSusFlaky
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$ServiceUnitZkUtils,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/ServiceUnitZkUtils.java,0.0084745762711864,0.0916698497028211,0.6205787781350482,5.451535474410124e-24,3,3,8397396.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$DispatchRateLimiter,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/DispatchRateLimiter.java,0.0074626865671641,0.086066296582387,0.5902140672782874,1.3603371204405001e-24,5,4,4198276.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.compaction$CompactedTopicImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/compaction/CompactedTopicImpl.java,0.0074626865671641,0.086066296582387,0.5902140672782874,1.3603371204405001e-24,5,1,6441962.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentMessageFinder,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentMessageFinder.java,0.0,0.0,0.0,0.0,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentMessageExpiryMonitor$1,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentMessageExpiryMonitor.java,0.0,0.0,0.0,0.0,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$PulsarService$State,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/PulsarService.java,0.0,0.0,0.0,0.0,33,11,237198.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.utils$PulsarBrokerVersionStringUtils,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/utils/PulsarBrokerVersionStringUtils.java,0.0,0.0,0.0,0.0,2,2,8397396.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$MessagingServiceShutdownHook,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/MessagingServiceShutdownHook.java,0.0,0.0,0.0,0.0,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.cache$LocalZooKeeperCacheService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/cache/LocalZooKeeperCacheService.java,0.0,0.0,0.0,0.0,4,3,4703178.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.cache$LocalZooKeeperCacheService$2,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/cache/LocalZooKeeperCacheService.java,0.0,0.0,0.0,0.0,4,3,4703178.0,0.0
