Name	Commit		GitHub URL	Parent commit	Test Name	Date	Modyfing	Comments	Categories Guillaume	Categories Adriano	Categories final decision	Module suspected to be flaky	Line rank	Method rank	Class rank	Class rank (worst case)	Within the top x% (churn)  	top x% (# of developers)  	top x% (age)  		#Tests	#Classes	#CoveredClasses	#CoveredClassesByFlakyTests
apache/hbase	0732ef5ebfea8e254d4a5dad6fe16ecccca3b799		https://github.com/apache/hbase/commit/0732ef5ebfea8e254d4a5dad6fe16ecccca3b799	5b64de45edf85abdc32ed98cf4396dea43283377	TestAssignmentManagerMetrics		Test and Code		Async wait	Async wait	Async wait	RpcExecutor, HMaster, AssignmentManager, HRegionServer	26	5	14		18.5, 0.5, 12.1, 0.3	17.0, 0.3, 33.7, 0.5	1.1, 1.1, 1.1, 1.1		1767	1446	613	331
apache/hbase	e9a278adc617a41ad3eefdd419e7618afee6b2b3		https://github.com/apache/hbase/commit/e9a278adc617a41ad3eefdd419e7618afee6b2b3	39cf42be9a9a3bcbf5db90903d2d4b438551d4ce	TestReplicationDroppedTables		Test and Code		Timeout	Concurency	Concurrency	ReplicationSourceManager		1,550	81		5.4	5	12.7		138	911	399	363
apache/hbase	29d701a314b6bf56771a217b42c4c10832b15753		https://github.com/apache/hbase/commit/29d701a314b6bf56771a217b42c4c10832b15753	c7cae6be3dccfaa63033b705ea9845f3f088aab6	TestMasterProcedureWalLease		Test and Code		Async wait	Async wait	Async wait	MasterProcedureEnv	13	4	1		71.5	100	35.7		326	860	377	268
apache/hbase	408242430510c1cedb5ce7971f3ebb9f439870fe		https://github.com/apache/hbase/commit/408242430510c1cedb5ce7971f3ebb9f439870fe	eb112783ae11dbb23f74f453f22a0301c6b2b11f	TestFlushWithThroughputController		Test and Code		Async wait	Async wait 	Async wait	PressureAwareThroughputController	462	90	22		100	100	58.4		1554	1382	565	280
																								
neo4j/neo4j	8384028590cf78801ca0ac97d63959d7522e4a30		https://github.com/neo4j/neo4j/commit/8384028590cf78801ca0ac97d63959d7522e4a30			2017	Code	4																
neo4j/neo4j	77efa1452d5621674d6b70831a2359a9a8055bab		https://github.com/neo4j/neo4j/commit/77efa1452d5621674d6b70831a2359a9a8055bab			2018	Code	4																
neo4j/neo4j	aef6ff373c4b6992cdad73c4632fb706ec99ddd0		https://github.com/neo4j/neo4j/commit/aef6ff373c4b6992cdad73c4632fb706ec99ddd0			2019	Code	1																
neo4j/neo4j	c2e4c9e590d9175296b9aff989be0a2f49995b34		https://github.com/neo4j/neo4j/commit/c2e4c9e590d9175296b9aff989be0a2f49995b34			2019	Code	1																
neo4j/neo4j	519a3708553bfa3e843fd00d2cd6fb5ef3f28213		https://github.com/neo4j/neo4j/commit/519a3708553bfa3e843fd00d2cd6fb5ef3f28213			2019	Code	1																
